timestamp,annotator_id,prolific_id,sentence_id,sentence_text,rating,time_ms
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0943,"[Commento un post con dicitura ""Fine dell’all inclusive: lei toglie il braccialetto e inizia il tour Pulizie, Lavatrice & Co. 💪 🛋️ Lui? Toglie il braccialetto e si attiva… solo il pollice per il telecomando. 🍿""] Io non faccio in tempo a entrare in casa, che se è un orario decente, mio marito mette già la lavatrice e ha già disfatto la sua e quella di mio figlio 😂",0.23,174000
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0522,diciamo che dommaruma e buffon non hanno mai eccelso per utilizzo del cervello,0.15,16011
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0968,"L'unica scatola che forma il cervello della donna contiene tutte le scatole, ormai rotte, che erano nel cervello dell'uomo e, quindi, oggi come oggi più che mai, anche il cervello della donna è vuoto, perché la donna ha pensato di superare l'uomo anche nelle sue espressioni più bieche... amen.",0.67,22984
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0032,"[Commento ad articolo di giornale dal titolo ""Turista americana si tuffa dal Fiordo di Furore (alto 30 metri) in Costiera Amalfitana: ora rischia la paralisi""] Mi chiedo ma una mamma prima di sfidare un pericolo di morte non pensa ai suoi figli?",0.16,15008
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0773,"[Commento ad articolo con titolo ""Littizzetto: «Mi piacerebbe un nuovo amore ma non arriva. Forse hanno paura di me. Ma io sono una cretina qualsiasi»""] sei bella simpatica sexy obiettiva non volgare...... chissà perchè non hai mille corteggiatori? Un mistero!",0.3,15993
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0684,"Le moto sono belle, ma quando c'è un pezzo di figa vicino passano in secondo piano <MENTION_1>",0.86,9003
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0314,"Se pensi che comprare l’attenzione di una donna con i soldi sia la soluzione, ti stai solo sabotando. Una relazione sana nasce dall’autenticità, non dal portafoglio. ",0.39,12999
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0304,"Purtroppo spesso le ragazze provano orrore per le materie scientifiche, anche questo va detto. Spesso sono le donne stesse a crearsi barriere.",0.61,15998
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0520,Da genitore non alzerei mai le mani sul figlio ma sul padre si,0.24,15000
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0342,"Lei ha tanti amici maschi? NON FIDANZARTI! fidanzarsi con una ragazza che ha solo amici maschi molto rischioso… Poiché la realtà dei fatti è che questi uomini per lei forse sono amici, ma li avrà sempre intorno, che tentano di provarci…",0.82,18016
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0356,"Che bello vedere che in questi anni di neo femminismo dilagante, le prime nemiche delle donne sono ancora… le donne.",0.93,21990
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0026,"[Commento ad articolo di giornale dal titolo ""Meloni ai Volenterosi: ""Fondamentale l'unità dell'Occidente""""] Inginocchiata davanti a tutti, Trump, Von der leyen, nethanyau, emiri vari…manco nelle peggiori gang bang",0.86,13995
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0031,"[Commento ad articolo di giornale dal titolo ""Carola Rackete si dimette da europarlamentare ""] Oltre ad essere delle delinquenti fuorilegge, le candidate della lurida sinistra son anche dei cessi immondi di notevole livello!",0.95,14006
5/20/2026,GS1,69320a3097cd2a523915e70d,GS0641,"Quando le donne sono stressate, diventano emotive e si sfasciano, mentre quando gli uomini sono stressati, rimangono calmi e lucidi",0.89,9993
